Цифр. код,Валюта,Курс
[],[],[]
['036'],['Австралийский доллар'],"['60,9076']"
['944'],['Азербайджанский манат'],"['54,0882']"
['051'],['Армянских драмов'],"['23,0752']"
['933'],['Белорусский рубль'],"['28,4164']"
['975'],['Болгарский лев'],"['50,9810']"
['986'],['Бразильский реал'],"['18,3470']"
['348'],['Венгерских форинтов'],"['25,4695']"
['410'],['Вон Республики Корея'],"['69,5326']"
['704'],['Вьетнамских донгов'],"['38,3045']"
['344'],['Гонконгский доллар'],"['11,7779']"
['981'],['Грузинский лари'],"['33,9223']"
['208'],['Датская крона'],"['13,3710']"
['784'],['Дирхам ОАЭ'],"['25,0374']"
['840'],['Доллар США'],"['91,9499']"
['978'],['Евро'],"['100,3650']"
['818'],['Египетских фунтов'],"['19,6991']"
['356'],['Индийских рупий'],"['11,0956']"
['360'],['Индонезийских рупий'],"['58,4663']"
['398'],['Казахстанских тенге'],"['20,3758']"
['124'],['Канадский доллар'],"['67,8147']"
['634'],['Катарский риал'],"['25,2610']"
['417'],['Киргизских сомов'],"['10,2726']"
['156'],['Китайский юань'],"['12,7519']"
['498'],['Молдавских леев'],"['51,8817']"
['554'],['Новозеландский доллар'],"['55,9929']"
['934'],['Новый туркменский манат'],"['26,2714']"
['578'],['Норвежских крон'],"['86,1616']"
['985'],['Польский злотый'],"['23,3192']"
['946'],['Румынский лей'],"['20,1839']"
['960'],['СДР (специальные права заимствования)'],"['122,0322']"
['941'],['Сербских динаров'],"['85,8218']"
['702'],['Сингапурский доллар'],"['68,7682']"
['972'],['Таджикских сомони'],"['83,9150']"
['764'],['Таиландских батов'],"['25,5686']"
['949'],['Турецких лир'],"['28,4160']"
['860'],['Узбекских сумов'],"['73,1976']"
['980'],['Украинских гривен'],"['23,4926']"
['826'],['Фунт стерлингов Соединенного королевства'],"['116,8775']"
['203'],['Чешских крон'],"['39,4381']"
['752'],['Шведских крон'],"['87,7771']"
['756'],['Швейцарский франк'],"['102,8177']"
['710'],['Южноафриканских рэндов'],"['48,5167']"
['392'],['Японских иен'],"['60,9626']"
